name,description,points,date,theme,university,academic_year,website

"Всероссийская олимпиада школьников «Высшая проба»","«Высшая проба» включена в Перечень олимпиад школьников и дает следующие льготы:
Дипломантам 11 класса
поступление в вузы РФ без вступительных испытаний;
100 баллов за ЕГЭ по предмету, соответствующему профилю олимпиады.
Дипломантам 7-10 классов
право принять участие сразу в заключительном этапе олимпиады в следующем году.",100,03.10.2023,global_olympiads,NULL,https://olymp.hse.ru/mmo/,

"Вузовско-академическая олимпиада по информатике","Вузовско-академическая олимпиада по программированию на Урале в Перечне олимпиад школьников на 2022/2023 год, ей присвоен первый уровень по предмету «информатика».",100,18.12.2023,global_olympiads,NULL,https://olimpiada.ru/activity/5059,


"ГТО","Всероссийский физкультурно-спортивный комплекс «Готов к труду и обороне» (ГТО) — полноценная программная и нормативная основа физического воспитания населения страны, нацеленная на развитие массового спорта и оздоровление нации.
Комплекс ГТО предусматривает подготовку к выполнению и непосредственное выполнение населением различных возрастных групп (от 6 до 70 лет и старше) установленных нормативных требований по трем уровням трудности, соответствующим золотому, серебряному и бронзовому знакам отличия «Готов к труду и обороне» (ГТО).",10,ANY,sport,NULL,10-11,https://www.gto.ru,

"Волонтёрство","широкий круг деятельности, включая традиционные формы взаимопомощи и самопомощи, сбора средств, официальное предоставление услуг и другие формы гражданского участия, которая осуществляется добровольно на благо широкой общественности без расчёта на денежное вознаграждение. В отдельных случаях возможно оплата услуг добровольцев.",3,ANY,volunteering,NULL,7-11,https://dobro.ru,


"Международная олимпиада «Innopolis Open»","Innopolis Open по информатике — возможность проявить себя в решении интересных и сложных задач. Ежегодно в соревновании участвует более 5000 школьников с 7 по 11 класс из России и других стран. ",75,13.11.2023,global_olympiads,NULL,7-11,https://dovuz.innopolis.university/io-informatika/,


"Олимпиада школьников по программированию «ТехноКубок»","«ТехноКубок» – олимпиада по программированию для школьников 8-11 классов. Проводится с 2015 года.",75,18.11.2023,global_olympiads,NULL,8-11,https://techno-cup.ru,


"Отраслевая олимпиада школьников «Газпром»","«Газпром» совместно с ведущими техническими и экономическими вузами России проводит отраслевую олимпиаду для учеников 9-11 классов по математике, физике, химии, информатике, инженерному делу и экономике.",75,10.10.2023.global_olympiads,МГТУ им. Н. Э.NULL,9-10,https://olympiad.gazprom.ru,

